parent_id,name,end
33,ニット/セーター,1
33,パーカー,1
33,カーディガン,1
33,スウェット,1
33,ジャージ,1
33,ベスト,1
33,その他,1
34,すべて,1
34,テーラードジャケット,1
34,ノーカラージャケット,1
34,Gジャン/デニムジャケット,1
34,レザージャケット,1
34,ダウンジャケット,1
34,ライダースジャケット,1
34,ミリタリージャケット,1
34,ナイロンジャケット,1
34,フライトジャケット,1
34,ダッフルコート,1
34,ピーコート,1
34,ステンカラーコート,1
34,トレンチコート,1
34,モッズコート,1
34,チェスターコート,1
34,スタジャン,1
34,スカジャン,1
34,ブルゾン,1
34,マウンテンパーカー,1
34,ダウンベスト,1
34,ポンチョ,1
34,カバーオール,1
34,その他,1
35,すべて,1
35,デニム/ジーンズ,1
35,ワークパンツ/カーゴパンツ,1
35,スラックス,1
35,チノパン,1
35,ショートパンツ,1
35,ペインターパンツ,1
35,サルエルパンツ,1
35,オーバーオール,1
35,その他,1
36,すべて,1
36,スニーカー,1
36,サンダル,1
36,ブーツ,1
36,モカシン,1
36,ドレス/ビジネス,1
36,長靴/レインシューズ,1
36,デッキシューズ,1
36,その他,1
37,すべて,1
37,ショルダーバッグ,1
37,トートバッグ,1
37,ボストンバッグ,1
37,リュック/バックパック,1
37,ウエストポーチ,1
37,ボディーバッグ,1
37,ドラムバッグ,1
37,ビジネスバッグ,1
37,トラベルバッグ,1
37,メッセンジャーバッグ,1
37,エコバッグ,1
37,その他,1
38,すべて,1
38,スーツジャケット,1
38,スーツベスト,1
38,スラックス,1
38,セットアップ,1
38,その他,1
39,すべて,1
39,キャップ,1
39,ハット,1
39,ニットキャップ/ビーニー,1
39,ハンチング/ベレー帽,1
39,キャスケット,1
39,サンバイザー,1
39,その他,1
40,すべて,1
40,ネックレス,1
40,ブレスレット,1
40,バングル/リストバンド,1
40,リング,1
40,ピアス(片耳用),1
40,ピアス(両耳用),1
40,アンクレット,1
40,その他,1
41,すべて,1
41,長財布,1
41,折り財布,1
41,マネークリップ,1
41,コインケース/小銭入れ,1
41,名刺入れ/定期入れ,1
41,キーケース,1
41,キーホルダー,1
41,ネクタイ,1
41,手袋,1
41,ハンカチ,1
41,ベルト,1
41,マフラー,1
41,ストール,1
41,バンダナ,1
41,ネックウォーマー,1
41,サスペンダー,1
41,ウォレットチェーン,1
41,サングラス/メガネ,1
41,モバイルケース/カバー,1
41,手帳,1
41,ストラップ,1
41,ネクタイピン,1
41,カフリンクス,1
41,イヤマフラー,1
41,傘,1
41,レインコート,1
41,ミラー,1
41,タバコグッズ,1
41,その他,1
42,すべて,1
42,腕時計(アナログ),1
42,腕時計(デジタル),1
42,ラバーベルト,1
42,レザーベルト,1
42,金属ベルト,1
42,その他,1
43,すべて,1
43,一般水着,1
43,スポーツ用,1
43,アクセサリー,1
43,その他,1
44,すべて,1
44,ソックス,1
44,レギンス/スパッツ,1
44,レッグウォーマー,1
44,その他,1
45,すべて,1
45,トランクス,1
45,ボクサーパンツ,1
45,その他,1
46,すべて,1
47,すべて,1
47,トップス,1
47,アウター,1
47,パンツ,1
47,スカート,1
47,ワンピース,1
47,ベビードレス,1
47,おくるみ,1
47,下着/肌着,1
47,パジャマ,1
47,ロンパース,1
47,その他,1
48,すべて,1
48,トップス,1
48,アウター,1
48,パンツ,1
48,おくるみ,1
48,下着/肌着,1
48,パジャマ,1
48,ロンパース,1
48,その他,1
49,すべて,1
49,トップス,1
49,アウター,1
49,パンツ,1
49,おくるみ,1
49,下着/肌着,1
49,パジャマ,1
49,ロンパース,1
49,その他,1
50,すべて,1
50,コート,1
50,ジャケット/上着,1
50,トップス(Tシャツ/カットソー),1
50,トップス(トレーナー),1
50,トップス(チュニック),1
50,トップス(タンクトップ),1
50,トップス(その他),1
50,スカート,1
50,パンツ,1
50,ワンピース,1
50,セットアップ,1
50,パジャマ,1
50,フォーマル/ドレス,1
50,和服,1
50,浴衣,1
50,甚平,1
50,水着,1
50,その他,1
51,すべて,1
51,コート,1
51,ジャケット/上着,1
51,トップス(Tシャツ/カットソー),1
51,トップス(トレーナー),1
51,トップス(その他),1
51,パンツ,1
51,セットアップ,1
51,パジャマ,1
51,フォーマル/ドレス,1
51,和服,1
51,浴衣,1
51,甚平,1
51,水着,1
51,その他,1
52,すべて,1
52,コート,1
52,ジャケット/上着,1
52,トップス(Tシャツ/カットソー),1
52,トップス(トレーナー),1
52,トップス(その他),1
